0,212,462,143,383,591,603,453,251,468,962,911,605,841,491,132,219,705,125,389,
212,0,759,653,77,590,250,264,678,141,441,898,104,472,415,715,54,577,726,616,
462,759,0,315,59,527,768,230,824,882,894,308,58,254,593,61,64,712,600,191,
143,653,315,0,48,26,693,122,887,285,625,666,425,951,530,874,576,751,941,984,
383,77,59,48,0,19,524,258,343,714,527,243,298,383,843,948,348,505,215,999,
591,590,527,26,19,0,714,219,569,306,417,926,779,338,49,601,128,566,363,503,
603,250,768,693,524,714,0,321,252,351,786,840,3,359,850,70,721,324,866,467,
453,264,230,122,258,219,321,0,554,131,218,447,789,929,569,585,964,337,861,429,
251,678,824,887,343,569,252,554,0,34,203,77,136,510,562,221,113,77,531,891,
468,141,882,285,714,306,351,131,34,0,729,355,133,953,547,487,404,144,130,894,
962,441,894,625,527,417,786,218,203,729,0,748,746,594,448,964,501,144,378,785,
911,898,308,666,243,926,840,447,77,355,748,0,825,612,326,727,396,878,81,887,
605,104,58,425,298,779,3,789,136,133,746,825,0,184,371,670,283,261,687,515,
841,472,254,951,383,338,359,929,510,953,594,612,184,0,98,602,377,776,526,467,
491,415,593,530,843,49,850,569,562,547,448,326,371,98,0,349,689,101,133,791,
132,715,61,874,948,601,70,585,221,487,964,727,670,602,349,0,981,324,208,793,
219,54,64,576,348,128,721,964,113,404,501,396,283,377,689,981,0,225,385,727,
705,577,712,751,505,566,324,337,77,144,144,878,261,776,101,324,225,0,178,130,
125,726,600,941,215,363,866,861,531,130,378,81,687,526,133,208,385,178,0,902,
389,616,191,984,999,503,467,429,891,894,785,887,515,467,791,793,727,130,902,0,
